floor,collapse_risk_score,column_fck,beam_fck,slab_fck,Y8_fyk,Y10_fyk,Y12_fyk,Y16_fyk,Y20_fyk,bearing_capacity,location,building_type,foundation_type,supervision
2,2,25.230752650988816,14.224650841690396,25.307201106479475,0.0,0.0,380.6592355720933,447.24138768076705,316.88349895535003,252.61841730477045,Abuja,Residential,Pad,Unknown
2,2,26.022134712817085,21.509740232042976,23.800715298914646,0.5328542778554253,252.50285251863545,0.0,361.72359281185277,0.0,147.30970627934025,Abuja,Residential,Pad,Unknown
2,2,30.70194159605791,23.80808455657628,25.53206343706176,0.0,0.0,375.44648645188664,0.0,0.0,252.09378355828434,Abuja,Commercial,Pad,Yes
6,2,28.047505957877696,10.907986112188084,31.833173520999694,49.54499531933293,52.74828492837129,362.5893275524407,0.0,373.50893261374125,216.84400077244266,Abuja,School,Pad,Unknown
6,2,27.674596937790056,22.822391667451445,25.995700810905706,264.1460383646755,338.62822781920676,411.75369264197474,408.08764951208076,406.3778289729275,251.89792136414405,Abuja,Residential,Pad,Yes
2,2,27.746965526922466,25.665793948177893,25.335356422970133,246.00706672941928,250.4520300656594,406.5295457112925,405.63080786305517,417.9187129552074,159.47494849589629,Abuja,Residential,Wide Strip,Yes
1,2,22.656629973933565,22.166669496442534,23.105258397551534,0.0,0.0,411.6608813058256,405.961355022626,431.29155877147036,170.62495037839304,Abuja,Residential,Pad,Yes
2,2,23.454016635054327,22.459663354872873,22.841129547796772,0.0,233.5514661558047,406.54100063976523,0.0,409.59867949013625,250.0612718748489,Abuja,Residential,Pad,Yes
2,2,27.646130750057104,22.68618632104749,27.791388183023958,234.77367151783417,238.21428625325296,413.0154699565558,0.0,401.8838053002148,192.16866151280226,Abuja,Residential,Pad,Yes
2,2,27.55208842985254,22.833141457702993,22.337152243301595,253.08276458630107,258.708324947113,0.0,411.8160373059443,402.8282920971638,198.34320957596051,Abuja,Commercial,Pad,Yes
4,2,26.32070275378113,22.08288800365965,24.643045357321835,0.0,256.8742149699887,411.3604933347496,415.173513549153,0.0,254.51501143748632,Abuja,Residential,Pad,Yes
2,2,27.273419676497145,22.63860285632667,22.902036341598937,253.74741925871135,0.0,0.0,412.6357893270335,398.2177860157827,155.5692104625898,Abuja,Residential,Pad,Yes
1,2,24.065500476021487,20.962682167796956,23.712889578675302,0.0,347.17263684189345,357.4135404930718,366.6441490006906,-12.62126947664494,167.2904706123096,Abuja,Church,Pad,No
2,2,27.6527995770703,22.811845348856007,23.572914335111985,82.93105217945056,210.17657872148234,402.60570266352863,506.6841894704393,0.0,251.3039681619695,Abuja,Commercial,Pad,Unknown
2,2,26.26840109411027,25.34119845352156,28.299356154896266,453.21855920310327,200.51624028707775,355.2610330872701,0.0,0.0,225.54754127982167,Abuja,Commercial,Pad,Unknown
1,2,27.633167061686137,25.55764111127466,26.58259895704022,242.33444007237665,245.16707843238564,410.08908559342257,0.0,403.804813715522,220.7498609901954,Abuja,Church,Pad,Yes
1,1,21.817374558753052,19.23884552162249,18.907746728723517,0.0,0.0,412.37340486844283,548.8538956155649,407.89278053787086,182.08359461587509,Plateau,Commercial,Strip,Yes
2,2,22.85349330559305,21.690953705887562,27.54813163704237,258.6689327685344,246.36830130440953,0.0,0.0,406.8850666854488,205.65419273250356,Abuja,Commercial,Pad,No
2,2,26.24539579760213,22.782124383187323,22.79112404323077,0.0,255.32490587124576,413.54042990315173,402.5696543878353,417.99074065712813,160.40123800361144,Abuja,Residential,Pad,Yes
2,2,22.832390775024738,22.116208142927498,30.012449394755315,0.0,257.1470868841501,381.49892184644966,353.639495966306,372.86641974849914,201.8376380300036,Abuja,Church,Pad,Yes
1,3,26.554720904824308,22.822730000044128,24.139247433499545,0.0,239.64951135137238,0.0,0.0,425.1186592262766,158.16034402992148,Lagos,Commercial,Pad,Yes
1,2,23.625234783523236,20.82566631897107,24.951618202142235,32.2982392129302,0.0,0.0,355.99603924037507,0.0,193.37751252883535,Abuja,Residential,Pad,Yes
1,2,25.55222059971723,22.617952242296592,27.858887218567602,251.71332320244053,254.0445098069864,412.3240730513791,415.9078815302988,418.4318105780938,248.99479820815154,Abuja,Commercial,Pad,Yes
2,2,30.75336256332982,23.82630778483128,24.57959372276935,0.0,182.60270608187216,0.0,0.0,0.0,176.81334825715726,Abuja,School,Raft,Yes
2,1,29.958101300462697,20.590638146689614,32.640149432548654,86.36450884651539,212.26913120875275,359.9629903221283,379.3484702378992,55.70580292143745,145.16818675420265,Plateau,School,Pad,No
2,3,27.292217035264024,22.645399437049345,25.183591255589295,0.0,240.30677235436448,416.5085732431975,0.0,409.0896906690472,217.86966817127043,Lagos,Residential,Pad,No
2,2,27.70032859158103,22.39986388277315,23.60441254682048,253.77678202490566,266.23187989985144,410.77258513312626,0.0,402.42815916792307,176.90941907254143,Abuja,School,Pad,Yes
3,2,27.430025496554347,22.528059672895075,24.989419581436223,259.12658151155,243.34054829124784,0.0,0.0,0.0,155.21659646519447,Abuja,Residential,Pad,Yes
3,2,29.655530658354444,26.794200143758726,27.10696284989838,335.07653066765084,245.9927693435698,543.506439102102,410.8208445118661,410.25534172711787,212.57578728169804,Abuja,Commercial,Pad,No
2,2,27.284169102884004,26.034764686811645,22.761993773513403,0.0,300.12899955851043,408.52164911817346,406.27341404372294,414.90363158985645,249.46027765470438,Abuja,Residential,Wide Strip,Yes
1,2,28.09052551606524,21.83719838002195,23.658645165761783,240.21916754333185,0.0,479.60309683772107,0.0,0.0,246.38696265401651,Abuja,Residential,Pad,Yes
2,2,26.535202132570454,26.119790561425766,23.923771551043547,244.07397646397195,0.0,405.4827317815364,410.32565457600595,0.0,228.97238062812235,Abuja,Residential,Pad,No
1,2,27.9891260139605,22.53101847569567,27.727545361897008,245.4780610962529,254.7228453392143,405.00987207932195,0.0,404.93083163396454,183.85132585901286,Abuja,Residential,Pad,Yes
3,2,23.089313041117002,22.574598368105818,25.9476474416582,252.17947659585732,240.6782167012021,411.3519550709968,0.0,0.0,207.61628388136845,Abuja,Residential,Pad,Yes
2,3,22.04291897694724,21.455575259259568,21.55689166134466,257.7105415099068,247.4204004507323,0.0,0.0,405.23822915762895,169.2410696130691,Lagos,Church,Pad,Yes
4,2,26.858721077106463,26.610584252295265,27.484171832940287,264.8945944451362,0.0,414.49259271860365,411.36364744793525,407.0534792047166,184.31297632065574,Abuja,Commercial,Pad,Yes
1,1,22.265429872493808,23.204082797702025,27.38634067414464,0.0,0.0,408.02602214665507,411.8800544398023,398.47344388471475,200.07606677441095,Benue,Residential,Pad,Yes
2,2,22.646961030471605,23.350064855415113,25.037648452012213,0.0,0.0,412.10520612572765,414.3165230764026,0.0,245.73468692412493,Abuja,Residential,Pad,Yes
4,1,31.387625988729347,27.025357948435175,25.621142698265686,0.0,201.30127002987177,0.0,371.6108760974075,378.6731118895516,228.10850789651172,Kwara,School,Strip,Yes
1,2,27.881126076851853,18.91705572390504,19.00712279915186,52.12795207173933,237.2908120952999,0.0,360.96395236794143,0.0,248.40771423712349,Abuja,Commercial,Pad,No
2,2,22.99498803757353,22.463384295375125,24.17632576510293,0.0,0.0,409.34366940837197,0.0,402.9327267332269,255.59354415034142,Abuja,Residential,Pad,Yes
2,2,27.059762469660186,22.952894732471908,27.828357163991363,262.97403566016504,234.27805371393194,413.4213573082149,407.24557344434,408.2894635194339,201.44539646206601,Abuja,Residential,Pad,Yes
1,2,22.07447353627731,18.417261764326803,21.960548369622384,264.72794530515864,252.2384916324189,0.0,410.3171554831448,0.0,210.45088140576755,Abuja,Commercial,Pad,Yes
1,1,27.384298227690984,23.450092196003986,26.630569768983367,235.8667963072288,0.0,0.0,408.0363202425435,418.1808467583452,206.7718761102325,Plateau,Commercial,Pad,Yes
2,2,23.475532860831027,22.057450530853174,22.40783415846284,237.65292940531822,0.0,406.29181740298577,410.75690109126543,401.7969466722941,245.96733402075947,Abuja,Residential,Pad,Yes
4,2,27.932340151813587,27.3968018873388,26.735712457390548,257.4737255971722,252.58175972991046,411.1440397391057,416.88912922190707,403.06856969549614,186.76582631753527,Abuja,School,Pad,Yes
1,2,27.06422081626233,7.874692060607828,21.4343524304275,459.001596874546,238.13339362934892,375.43948616992844,377.695845662748,380.6126473022622,251.0792121348966,Abuja,Commercial,Pad,Unknown
4,1,25.934509775787113,24.009758995939162,25.254448526849067,-7.718760547111856,0.0,0.0,0.0,336.75369670566477,239.25966174431554,Plateau,School,Raft,No
4,2,30.444151472494447,20.181756372567378,18.68542448846829,0.0,229.23545714536428,371.64532158543176,0.0,296.59676622356886,156.02920065393826,Abuja,Residential,Pad,Unknown
5,3,28.493336396631257,18.091766883790925,26.2046977196092,0.0,247.37116173078368,0.0,0.0,0.0,231.40276053108906,Lagos,Commercial,Pad,Unknown
1,2,26.810566015882223,32.56146981126752,22.379380907498348,0.0,0.0,375.25318958338295,358.98338163955594,354.7966059840716,209.29418956490832,Abuja,Commercial,Strip,Unknown
2,2,31.054664243608492,23.001734514933986,27.347135170455214,26.265084934851533,225.40860332731637,0.0,0.0,384.9130537280771,172.64558134461694,Abuja,School,Pad,No
1,2,27.52797218247512,23.158493493572234,24.738127529453042,69.77233238318183,0.0,355.91097403670454,0.0,368.6237792125449,254.94773172009633,Abuja,Residential,Pad,Unknown
3,2,29.34510101091079,21.47826136484253,21.901676057240266,24.735573582562974,0.0,377.1324851286245,366.7135070466137,362.78447720578043,250.45744416510857,Abuja,Residential,Pad,Yes
2,2,26.337733105017076,24.384080025791928,21.90863467076792,262.92591658181345,252.10242689465062,411.1021917588488,414.53641698612216,0.0,248.8420362990982,Abuja,Residential,Pad,Yes
3,3,26.590048944867064,26.253228533714967,26.539870654504952,0.0,260.3256191812614,538.042290555698,405.11470346688225,0.0,160.38809123601104,Lagos,Church,Pad,Yes
